mulselect_id,curve_id,curve_name,curve_components,quote_type,curve_type,funding_spread,interpolation_algorithm,extrapolation_algorithm,lowerbound_extrapolation,upperbound_extrapolation,currency,day_count,asset_liability_type,configuration_date
24,TDBC,TD Base Curve,CD003M,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,CD006M,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,CD009M,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC012MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC015MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC018MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC021MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC024MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC027MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC030MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC033MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC036MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC039MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC042MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC045MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC048MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC051MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC054MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC057MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
24,TDBC,TD Base Curve,INPC060MAVG Index,par,Liability,-,Linear,Flat,Flat,Flat,-,-,Liability,2022-03-31 00:00:00
25,ACBWP,AssetCurve_Bank_wide_pool,CD003M,par,Asset,-,Linear,Flat,Flat,Flat,-,-,Asset,2022-03-31 00:00:00
25,ACBWP,AssetCurve_Bank_wide_pool,CD006M,par,Asset,-,Linear,Flat,Flat,Flat,-,-,Asset,2022-03-31 00:00:00
25,ACBWP,AssetCurve_Bank_wide_pool,CD009M,par,Asset,-,Linear,Flat,Flat,Flat,-,-,Asset,2022-03-31 00:00:00
25,ACBWP,AssetCurve_Bank_wide_pool,IC0024M,par,Asset,-,Linear,Flat,Flat,Flat,-,-,Asset,2022-03-31 00:00:00
25,ACBWP,AssetCurve_Bank_wide_pool,IC0036M,par,Asset,-,Linear,Flat,Flat,Flat,-,-,Asset,2022-03-31 00:00:00
25,ACBWP,AssetCurve_Bank_wide_pool,IC0048M,par,Asset,-,Linear,Flat,Flat,Flat,-,-,Asset,2022-03-31 00:00:00
25,ACBWP,AssetCurve_Bank_wide_pool,IC0060M,par,Asset,-,Linear,Flat,Flat,Flat,-,-,Asset,2022-03-31 00:00:00
25,ACBWP,AssetCurve_Bank_wide_pool,COF_Overall_Pool_12M,par,Asset,-,Linear,Flat,Flat,Flat,-,-,Asset,2022-03-31 00:00:00
26,ACAHP,AssetCurve_Affordable_housing_pool,CD003M,par,Asset,-,Linear,Flat,Flat,Flat,-,-,Asset,2022-03-31 00:00:00
26,ACAHP,AssetCurve_Affordable_housing_pool,CD006M,par,Asset,-,Linear,Flat,Flat,Flat,-,-,Asset,2022-03-31 00:00:00
26,ACAHP,AssetCurve_Affordable_housing_pool,CD009M,par,Asset,-,Linear,Flat,Flat,Flat,-,-,Asset,2022-03-31 00:00:00
26,ACAHP,AssetCurve_Affordable_housing_pool,IC0024M,par,Asset,-,Linear,Flat,Flat,Flat,-,-,Asset,2022-03-31 00:00:00
26,ACAHP,AssetCurve_Affordable_housing_pool,IC0036M,par,Asset,-,Linear,Flat,Flat,Flat,-,-,Asset,2022-03-31 00:00:00
